#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00001	K01265	[EC:3.4.11.18]	map	methionyl aminopeptidase	05CA1@bactNOG,0QICC@gproNOG,16PNP@proNOG,COG0024@NOG	Removes the N-terminal methionine from nascent proteins (By similarity)			SZUA-1235_1:c(428..1207)	Methionine aminopeptidase	K01265	K01265		K01265	K14813
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01559	K00033	[EC:1.1.1.44][EC:1.1.1.343]	PGD, gnd, gntZ	6-phosphogluconate dehydrogenase	08J5G@bactNOG,0BRNT@bproNOG,1735H@proNOG,COG1023@NOG	6-phosphogluconate dehydrogenase (Decarboxylating)			SZUA-1235_97:c(10824..11255)	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating	K00033	K00033		K00033	K00033
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01560	K02946		RP-S10, MRPS10, rpsJ	small subunit ribosomal protein S10	08Z10@bactNOG,0QS8C@gproNOG,17CDQ@proNOG,COG0051@NOG	Involved in the binding of tRNA to the ribosomes (By similarity)			SZUA-1235_98:166..477	30S ribosomal protein S10	K02946	K02946	K02946	K02946	K02969
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01561	K02906		RP-L3, MRPL3, rplC	large subunit ribosomal protein L3	05EEE@bactNOG,0QIBA@gproNOG,16SCH@proNOG,COG0087@NOG	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit (By similarity)			SZUA-1235_98:514..1155	50S ribosomal protein L3	K02906	K02906	K02906	K02906	K02925
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01562	K02926		RP-L4, MRPL4, rplD	large subunit ribosomal protein L4	06U5A@bactNOG,0QIBC@gproNOG,16PQP@proNOG,COG0088@NOG	One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome (By similarity)			SZUA-1235_98:1166..1783	50S ribosomal protein L4	K02926	K02926	K02926	K02926	K02930
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01563	K02892		RP-L23, MRPL23, rplW	large subunit ribosomal protein L23	080KG@bactNOG,0QSDM@gproNOG,17FIH@proNOG,COG0089@NOG	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome (By similarity)			SZUA-1235_98:1780..2076	50S ribosomal protein L23	K02892	K02892	K02892	K02892	K02893
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01564	K02886		RP-L2, MRPL2, rplB	large subunit ribosomal protein L2	05CFD@bactNOG,0QIEJ@gproNOG,16PRR@proNOG,COG0090@NOG	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity			SZUA-1235_98:2098..2928	50S ribosomal protein L2	K02886	K02886	K02886	K02886	K02938
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01565	K02965		RP-S19, rpsS	small subunit ribosomal protein S19	05K7S@bactNOG,0QS24@gproNOG,17C5Q@proNOG,COG0185@NOG	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA (By similarity)			SZUA-1235_98:2941..3213	30S ribosomal protein S19	K02965	K02965	K02965	K02965	K02965
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01566	K02890		RP-L22, MRPL22, rplV	large subunit ribosomal protein L22	05KAP@bactNOG,0QS1D@gproNOG,17C3B@proNOG,COG0091@NOG	The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome (By similarity)			SZUA-1235_98:3225..3554	50S ribosomal protein L22	K02890	K02890		K02890	K02890
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01567	K02982		RP-S3, rpsC	small subunit ribosomal protein S3	05CKE@bactNOG,0QIRF@gproNOG,16Q16@proNOG,COG0092@NOG	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation (By similarity)			SZUA-1235_98:3560..4231	30S ribosomal protein S3	K02982	K02982	K02982	K02982	K02985
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01568	K02878		RP-L16, MRPL16, rplP	large subunit ribosomal protein L16	08R70@bactNOG,0QPY6@gproNOG,179Q0@proNOG,COG0197@NOG	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs (By similarity)			SZUA-1235_98:4244..4657	50S ribosomal protein L16	K02878	K02878	K02878	K02878	K02878
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01569	K02904		RP-L29, rpmC	large subunit ribosomal protein L29	083MP@bactNOG,0QVPF@gproNOG,17K7Y@proNOG,COG0255@NOG	50S ribosomal protein L29			SZUA-1235_98:4657..4848	50S ribosomal protein L29	K02904	K02904		K02904	K02918
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01570	K02961		RP-S17, MRPS17, rpsQ	small subunit ribosomal protein S17	05K87@bactNOG,0QTNF@gproNOG,17FCF@proNOG,COG0186@NOG	One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal			SZUA-1235_98:4852..5112	30S ribosomal protein S17	K02961	K02961	K02961	K02961	K02961
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01571	K02874		RP-L14, MRPL14, rplN	large subunit ribosomal protein L14	08UNN@bactNOG,0QQUT@gproNOG,179M9@proNOG,COG0093@NOG	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome (By similarity)			SZUA-1235_98:5134..5502	50S ribosomal protein L14	K02874	K02874	K02874	K02874	K02894
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01572	K02895		RP-L24, MRPL24, rplX	large subunit ribosomal protein L24	05KAR@bactNOG,0QTWS@gproNOG,17G2Z@proNOG,COG0198@NOG	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit (By similarity)			SZUA-1235_98:5517..5834	50S ribosomal protein L24	K02895	K02895		K02895	K02898
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01573	K02931		RP-L5, MRPL5, rplE	large subunit ribosomal protein L5	05CW6@bactNOG,0QI23@gproNOG,16PW3@proNOG,COG0094@NOG	This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits			SZUA-1235_98:5839..6378	50S ribosomal protein L5	K02931	K02931	K02931	K02931	K02931
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01574	K02954		RP-S14, MRPS14, rpsN	small subunit ribosomal protein S14	05VBI@bactNOG,0QSBX@gproNOG,17GF1@proNOG,COG0199@NOG	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site (By similarity)			SZUA-1235_98:6392..6697	30S ribosomal protein S14	K02954	K02954	K02954	K02954	K02980
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01575	K02994		RP-S8, rpsH	small subunit ribosomal protein S8	08UJY@bactNOG,0QR2H@gproNOG,179ZI@proNOG,COG0096@NOG	One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit (By similarity)			SZUA-1235_98:6704..7096	30S ribosomal protein S8	K02994	K02994		K02994	K02994
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01576	K02933		RP-L6, MRPL6, rplF	large subunit ribosomal protein L6	08R5J@bactNOG,0QK14@gproNOG,16T50@proNOG,COG0097@NOG	This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center (By similarity)			SZUA-1235_98:7109..7639	50S ribosomal protein L6	K02933	K02933	K02933	K02933	K02940
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01577	K02881		RP-L18, MRPL18, rplR	large subunit ribosomal protein L18	05K4C@bactNOG,0QS7E@gproNOG,17FS3@proNOG,COG0256@NOG	This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance (By similarity)			SZUA-1235_98:7652..8008	50S ribosomal protein L18	K02881	K02881	K02881	K02881	K02932
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01578	K02988		RP-S5, MRPS5, rpsE	small subunit ribosomal protein S5	08RA9@bactNOG,0QJ8Q@gproNOG,16QB5@proNOG,COG0098@NOG	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body (By similarity)			SZUA-1235_98:8021..8527	30S ribosomal protein S5	K02988	K02988	K02988	K02988	K02988
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01579	K02907		RP-L30, MRPL30, rpmD	large subunit ribosomal protein L30	05VPB@bactNOG,0QVRF@gproNOG,17K0A@proNOG,COG1841@NOG	50S ribosomal protein L30			SZUA-1235_98:8532..8723	50S ribosomal protein L30	K02907	K02907		K02907	K02937
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01580	K02876		RP-L15, MRPL15, rplO	large subunit ribosomal protein L15	08UZ0@bactNOG,0QR4V@gproNOG,17CQT@proNOG,COG0200@NOG	Binds to the 23S rRNA (By similarity)			SZUA-1235_98:8725..9159	50S ribosomal protein L15	K02876	K02876	K02876	K02876	K02900
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01581	K03076		secY	preprotein translocase subunit SecY	05CGG@bactNOG,0QIFB@gproNOG,16PR3@proNOG,COG0201@NOG	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)			SZUA-1235_98:9181..10515	Protein translocase subunit SecY	K03076	K03076		K03076	K03076
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01582	K02952		RP-S13, rpsM	small subunit ribosomal protein S13	08Z04@bactNOG,0QR13@gproNOG,17CEH@proNOG,COG0099@NOG	Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits			SZUA-1235_98:10734..11090	30S ribosomal protein S13	K02952	K02952	K02952	K02952	K02964
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01583	K02948		RP-S11, MRPS11, rpsK	small subunit ribosomal protein S11	08UHH@bactNOG,0QPWI@gproNOG,179NI@proNOG,COG0100@NOG	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome (By similarity)			SZUA-1235_98:11120..11509	30S ribosomal protein S11	K02948	K02948	K02948	K02948	K02955
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01584	K02986		RP-S4, rpsD	small subunit ribosomal protein S4	05G6W@bactNOG,0QIVN@gproNOG,16S0R@proNOG,COG0522@NOG	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit (By similarity)			SZUA-1235_98:11522..12142	30S ribosomal protein S4	K02986	K02986		K02986	K02997
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01585	K03040	[EC:2.7.7.6]	rpoA	DNA-directed RNA polymerase subunit alpha	05CTF@bactNOG,0QJ5V@gproNOG,16PMT@proNOG,COG0202@NOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1235_98:12164..13162	DNA-directed RNA polymerase subunit alpha	K03040	K03040		K03040	K03047
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01586	K02879		RP-L17, MRPL17, rplQ	large subunit ribosomal protein L17	08ZT0@bactNOG,0QQY8@gproNOG,179QI@proNOG,COG0203@NOG	50S ribosomal protein L17			SZUA-1235_98:13204..13584	50S ribosomal protein L17	K02879	K02879		K02879	K02879
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01587	K03701		uvrA	excinuclease ABC subunit A	05C5U@bactNOG,0QI2R@gproNOG,16PIE@proNOG,COG0178@NOG	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity)			SZUA-1235_98:c(13649..16471)	UvrABC system protein A	K03701	K03701	K03701	K03701	K03701
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01588	K08151		tetA	MFS transporter, DHA1 family, tetracycline resistance protein	07RDB@bactNOG,0QJZB@gproNOG,16S53@proNOG,COG0477@NOG	Major Facilitator			SZUA-1235_98:16561..17949	Inner membrane transport protein YajR	K08151			K08151	K19552
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01589	K03111		ssb	single-strand DNA-binding protein	08UUM@bactNOG,0QS1A@gproNOG,17CF7@proNOG,COG0629@NOG	single-stranded DNA-binding protein			SZUA-1235_98:18078..18527	Single-stranded DNA-binding protein	K03111	K03111		K03111	K03111
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01590	K01710	[EC:4.2.1.46]	E4.2.1.46, rfbB, rffG	dTDP-glucose 4,6-dehydratase	05C1B@bactNOG,0QJ0A@gproNOG,16QWB@proNOG,COG1088@NOG	dtdp-glucose 4,6-dehydratase			SZUA-1235_98:18630..19685	dTDP-glucose 4,6-dehydratase 2	K01710	K01710	K01710	K01710	K01710
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01591	K00973	[EC:2.7.7.24]	E2.7.7.24, rfbA, rffH	glucose-1-phosphate thymidylyltransferase	08I19@bactNOG,0RAKC@gproNOG,172GZ@proNOG,COG1209@NOG	Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis (By similarity)			SZUA-1235_98:19682..20593	Glucose-1-phosphate thymidylyltransferase	K00973	K00973		K00973	K00973
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01592	K01790	[EC:5.1.3.13]	rfbC, rmlC	dTDP-4-dehydrorhamnose 3,5-epimerase	08URP@bactNOG,0NF9Z@firmNOG,0X2W6@negNOG,COG1898@NOG	DTDP-4-dehydrorhamnose 3,5-epimerase			SZUA-1235_98:20595..21152	dTDP-4-dehydrorhamnose 3,5-epimerase	K01790	K01790	K01790	K01790	K01790
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01593	K00067	[EC:1.1.1.133]	rfbD, rmlD	dTDP-4-dehydrorhamnose reductase	05DBZ@bactNOG,0QIRH@gproNOG,16QVW@proNOG,COG1091@NOG	dTDP-4-dehydrorhamnose reductase			SZUA-1235_98:21159..22037	dTDP-4-dehydrorhamnose reductase	K00067	K00067		K00067	K00067
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01594	K06168	[EC:2.8.4.3]	miaB	tRNA-2-methylthio-N6-dimethylallyladenosine synthase	05CIW@bactNOG,0QIW0@gproNOG,16PH0@proNOG,COG0621@NOG	Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine (By similarity)			SZUA-1235_98:22182..23519	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	K06168	K06168	K06168	K06168	K18707
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01595	K06217		phoH, phoL	phosphate starvation-inducible protein PhoH and related proteins	05C9A@bactNOG,0QIGA@gproNOG,16Q7B@proNOG,COG1702@NOG	PhoH family			SZUA-1235_98:23520..24512	PhoH-like protein	K06217	K06217	K06217	K06217	K06217
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01596	K07042		ybeY, yqfG	probable rRNA maturation factor	05KGE@bactNOG,0QPWE@gproNOG,177QP@proNOG,COG0319@NOG	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA (By similarity)			SZUA-1235_98:24530..24958	Endoribonuclease YbeY	K07042	K07042		K01489	K07042
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01597	K06189		corC	magnesium and cobalt transporter	08JU5@bactNOG,0RB32@gproNOG,173HA@proNOG,COG4535@NOG	Magnesium and cobalt efflux protein			SZUA-1235_98:24990..25853	Magnesium and cobalt efflux protein CorC	K06189	K06189	K06189	K03699	K06189
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01598	K03820	[EC:2.3.1.-]	lnt	apolipoprotein N-acyltransferase	05CE8@bactNOG,0QJP2@gproNOG,16PTS@proNOG,COG0815@NOG	Transfers the fatty acyl group on membrane lipoproteins (By similarity)			SZUA-1235_98:25864..27336	Apolipoprotein N-acyltransferase	K03820	K03820	K03820	K03820	K03820
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01599	K05875		tar	methyl-accepting chemotaxis protein II, aspartate sensor receptor	07PAI@bactNOG,0QNKR@gproNOG,0XQ93@NOG,174XX@proNOG	alpha helical protein			SZUA-1235_98:c(27406..27930)	hypothetical protein	K05875			K05875	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01600	K01869	[EC:6.1.1.4]	LARS, leuS	leucyl-tRNA synthetase	05C8T@bactNOG,0QIKY@gproNOG,16QCR@proNOG,COG0495@NOG	Leucyl-tRNA synthetase			SZUA-1235_98:28053..30548	Leucine--tRNA ligase	K01869	K01869	K01869	K01869	K01869
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01601	K03643		lptE, rlpB	LPS-assembly lipoprotein	086NA@bactNOG,0QWET@gproNOG,0ZIVX@NOG,16XUR@proNOG	Rare lipoprotein B			SZUA-1235_98:30535..31062	LPS-assembly lipoprotein LptE	K03643	K03643		K03643	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01602	K02340	[EC:2.7.7.7]	holA	DNA polymerase III subunit delta	05DJF@bactNOG,0QIVH@gproNOG,16R4U@proNOG,COG1466@NOG	DNA polymerase III, delta' subunit			SZUA-1235_98:31098..32066	DNA polymerase III subunit delta	K02340	K02340		K02340	K02340
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01603	K00147	[EC:1.2.1.41]	proA	glutamate-5-semialdehyde dehydrogenase	05C2S@bactNOG,0QIMG@gproNOG,16R4V@proNOG,COG0014@NOG	Catalyzes the NADPH dependent reduction of L-gamma- glutamyl 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5-carboxylate (By similarity)			SZUA-1235_98:32092..33366	Gamma-glutamyl phosphate reductase	K00147	K00147	K00147	K00147	K00147
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01604					05VFK@bactNOG,0QVNI@gproNOG,17JSW@proNOG,COG5007@NOG	BolA family			SZUA-1235_99:c(153..389)	Acid stress protein IbaG					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01605									SZUA-1235_99:c(386..490)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01606	K07146		K07146	UPF0176 protein	05C72@bactNOG,0QKXC@gproNOG,16SCZ@proNOG,COG1054@NOG	UPF0176 protein			SZUA-1235_99:c(487..1491)	hypothetical protein	K07146	K07146		K07146	K07146
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01607	K03769	[EC:5.2.1.8]	ppiC	peptidyl-prolyl cis-trans isomerase C	07TF3@bactNOG,0QT5Q@gproNOG,16T1Y@proNOG,COG0760@NOG	Peptidyl-prolyl cis-trans isomerase			SZUA-1235_99:c(1512..2369)	putative parvulin-type peptidyl-prolyl cis-trans isomerase	K03769	K03769		K01802	K07533
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01608	K00372	[EC:1.7.99.-]	nasA	assimilatory nitrate reductase catalytic subunit	07QIW@bactNOG,0B7GU@bproNOG,16PDQ@proNOG,COG0243@NOG	Nitrate reductase			SZUA-1235_100:c(499..3168)	Nitrate reductase	K00372	K00372		K00367	K21307
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01609	K20755	[EC:3.4.21.121]	E3.4.21.121	Lys-Lys/Arg-Xaa endopeptidase	08B0A@bactNOG,COG1404@NOG	Subtilase family			SZUA-1235_100:3711..5765	Serine protease AprX	K20755				K20755
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01610	K00937	[EC:2.7.4.1]	ppk	polyphosphate kinase	05CUU@bactNOG,0QJ2D@gproNOG,16Q66@proNOG,COG0855@NOG	Catalyzes the reversible transfer of the terminal phosphate of ATP to form a long-chain polyphosphate (polyP) (By similarity)			SZUA-1235_100:5964..8027	Polyphosphate kinase	K00937	K00937		K00937	K00937
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01611	K01524	[EC:3.6.1.11][EC:3.6.1.40]	ppx-gppA	exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase	05C9X@bactNOG,0QI8N@gproNOG,16PKI@proNOG,COG0248@NOG	Conversion of pppGpp to ppGpp. Guanosine pentaphosphate (pppGpp) is a cytoplasmic signaling molecule which together with ppGpp controls the stringent response , an adaptive process that allows bacteria to respond to amino acid starvation, resulting in the coordinated regulation of numerous cellular activities (By similarity)			SZUA-1235_100:c(8024..9607)	Exopolyphosphatase	K01524	K01524		K01524	K01524
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01612	K01737	[EC:4.2.3.12][EC:4.1.2.50]	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase	083IA@bactNOG,154WP@plaNOG,COG0720@NOG	6-pyruvoyl tetrahydrobiopterin synthase			SZUA-1235_100:9675..10085	hypothetical protein	K01737	K01737		K01737	K01737
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01613	K08084		fimT	type IV fimbrial biogenesis protein FimT	05VY2@bactNOG,0BGDN@bproNOG,17K6X@proNOG,COG4970@NOG	Fimbrial			SZUA-1235_100:10368..10910	hypothetical protein	K08084	K08084		K08084	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01614	K02671		pilV	type IV pilus assembly protein PilV	069JG@bactNOG,0BGSJ@bproNOG,17U1F@proNOG,COG4967@NOG	type IV pilus modification protein PilV			SZUA-1235_100:10925..11425	hypothetical protein	K02671	K02671		K02671	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01615	K02672		pilW	type IV pilus assembly protein PilW	08SSQ@bactNOG,0QRSA@gproNOG,178MR@proNOG,COG4966@NOG	Type IV pilus assembly protein PilW			SZUA-1235_100:11422..12426	hypothetical protein	K02672	K02672		K02672	
