#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00001	K11600		RRP41, EXOSC4, SKI6	exosome complex component RRP41	02H1C@arcNOG,0KR95@eurNOG,COG0689@NOG,arCOG01575@arNOG	Probably involved in the 3'- 5' degradation of a variety of RNA species			SZUA-1439_1:88..492	Exosome complex component Rrp41	K11600	K11600		K11600	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00876	K18285	[EC:2.5.1.120]	mqnE	aminodeoxyfutalosine synthase	02H8W@arcNOG,0KRH1@eurNOG,COG1060@NOG,arCOG00656@arNOG	Elp3			SZUA-1439_313:c(3886..4842)	FO synthase subunit 2	K18285	K18285		K11781	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00877									SZUA-1439_314:c(2132..2323)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00878	K01939	[EC:6.3.4.4]	purA, ADSS	adenylosuccinate synthase	02GXI@arcNOG,0KREU@eurNOG,COG0104@NOG,arCOG04387@arNOG	Plays an important role in the de novo pathway of purine nucleotide biosynthesis			SZUA-1439_315:c(393..1397)	Adenylosuccinate synthetase	K01939	K01939	K01939	K01939	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00879	K06922		K06922	uncharacterized protein	COG1483@NOG	ATPase (AAA superfamily)-like protein			SZUA-1439_316:51..1043	hypothetical protein	K06922			K06922	K06922
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00880									SZUA-1439_316:1040..1447	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00881	K03547		sbcD, mre11	DNA repair protein SbcD/Mre11	02H1W@arcNOG,0KTCS@eurNOG,COG0420@NOG,arCOG00397@arNOG	Calcineurin-like phosphoesterase			SZUA-1439_317:c(173..1402)	DNA double-strand break repair protein Mre11	K03547	K03547		K06915	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00882	K01945	[EC:6.3.4.13]	purD	phosphoribosylamine---glycine ligase	02H7A@arcNOG,0KS2I@eurNOG,COG0151@NOG,arCOG04415@arNOG	phosphoribosylamine glycine ligase (EC 6.3.4.13)			SZUA-1439_318:18..218	Phosphoribosylamine--glycine ligase	K01945	K01945		K01945	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00883	K00928	[EC:2.7.2.4]	lysC	aspartate kinase	02H3X@arcNOG,0KS9P@eurNOG,COG0527@NOG,arCOG00861@arNOG	aspartate kinase (EC 2.7.2.4)			SZUA-1439_318:c(505..1878)	putative aspartokinase	K00928	K00928	K00928	K00928	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00884	K03924	[EC:3.6.3.-]	moxR	MoxR-like ATPase	02HTP@arcNOG,0KSR5@eurNOG,COG0714@NOG,arCOG00436@arNOG	ATPase associated with various cellular activities AAA_5			SZUA-1439_319:98..253	hypothetical protein	K03924			K03924	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00885					02I6H@arcNOG,0KSU2@eurNOG,COG2425@NOG,arCOG00442@arNOG	von Willebrand factor type A			SZUA-1439_319:411..1724	Protein ViaA					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00886	K09722	[EC:6.3.2.36]	K09722, pps	4-phosphopantoate---beta-alanine ligase	02HAX@arcNOG,0KSS4@eurNOG,COG1701@NOG,arCOG04262@arNOG	Protein of unknown function DUF137			SZUA-1439_319:c(1851..2600)	4-phosphopantoate--beta-alanine ligase	K09722	K09722	K09722	K09722	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00887	K00958	[EC:2.7.7.4]	sat, met3	sulfate adenylyltransferase	02GUD@arcNOG,0KRQ4@eurNOG,COG2046@NOG,arCOG04191@arNOG	sulfate adenylyltransferase (EC 2.7.7.4)			SZUA-1439_319:2869..3996	Sulfate adenylyltransferase	K00958	K00958		K00958	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00888	K02232	[EC:6.3.5.10]	cobQ, cbiP	adenosylcobyric acid synthase	0KRUD@eurNOG,COG1492@NOG,arCOG00105@arNOG	Catalyzes amidations at positions B, D, E, and G on adenosylcobyrinic A,C-diamide. NH(2) groups are provided by glutamine, and one molecule of ATP is hydrogenolyzed for each amidation (By similarity)			SZUA-1439_320:33..1442	Cobyric acid synthase	K02232	K02232	K02232	K02232	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00889									SZUA-1439_321:2..271	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00890	K03537	[EC:3.1.26.5]	POP5	ribonuclease P/MRP protein subunit POP5	02I4Z@arcNOG,0KUP9@eurNOG,COG1369@NOG,arCOG01365@arNOG	Part of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends (By similarity)			SZUA-1439_321:268..651	Ribonuclease P protein component 2	K03537	K03537	K03537	K03537	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00891	K03432	[EC:3.4.25.1]	psmA, prcA	proteasome alpha subunit	0KRYJ@eurNOG,COG0638@NOG,arCOG00971@arNOG	Component of the proteasome core, a large protease complex with broad specificity involved in protein degradation (By similarity)			SZUA-1439_321:605..1348	Proteasome subunit alpha	K03432	K03432	K03432	K03432	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00892	K11996	[EC:2.7.7.80][EC:2.8.1.11]	MOCS3, UBA4	adenylyltransferase and sulfurtransferase	02HI9@arcNOG,0KYNS@eurNOG,COG0476@NOG,arCOG01676@arNOG	Inherit from arCOG: UBA THIF-type NAD FAD binding protein			SZUA-1439_322:c(460..1080)	hypothetical protein	K11996			K11996	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00893									SZUA-1439_322:c(1722..2027)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00894									SZUA-1439_322:c(2233..2508)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00895									SZUA-1439_323:72..218	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00896	K06862		ehbQ	energy-converting hydrogenase B subunit Q	02HDV@arcNOG,0KSNR@eurNOG,COG1707@NOG,arCOG00813@arNOG	amino acid-binding ACT domain protein			SZUA-1439_323:c(763..1425)	hypothetical protein	K06862	K06862	K06862	K00003	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00897	K05947	[EC:2.4.1.217]	E2.4.1.217	mannosyl-3-phosphoglycerate synthase	0KSH5@eurNOG,0ZA90@NOG,arCOG04158@arNOG	Mannosyl-3-phosphoglycerate synthase			SZUA-1439_323:1779..2948	Mannosyl-3-phosphoglycerate synthase	K05947	K05947	K05947	K05947	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00898					02HXQ@arcNOG,0KTA9@eurNOG,COG2426@NOG,arCOG01330@arNOG	Putative small multi-drug export protein			SZUA-1439_324:c(315..773)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00899	K00077	[EC:1.1.1.169]	panE, apbA	2-dehydropantoate 2-reductase	0KTI0@eurNOG,COG1893@NOG,arCOG04139@arNOG	Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid (By similarity)			SZUA-1439_324:c(751..1635)	hypothetical protein	K00077	K00077	K00077	K00077	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00900	K03885	[EC:1.6.99.3]	ndh	NADH dehydrogenase	02TWV@arNOG,COG0446@NOG	fad-dependent pyridine nucleotide-disulfide oxidoreductase			SZUA-1439_324:1787..2842	Dihydrolipoyl dehydrogenase	K03885	K03885		K03885	K21833
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00901	K05966	[EC:2.4.2.52]	citG	triphosphoribosyl-dephospho-CoA synthase	0KS7K@eurNOG,COG1767@NOG,arCOG04238@arNOG	Triphosphoribosyl-dephospho-CoA protein			SZUA-1439_324:3331..4212	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase	K05966	K05966	K05966	K05966	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00902	K09154		K09154	uncharacterized protein	02HQU@arcNOG,0KU53@eurNOG,COG2457@NOG,arCOG04458@arNOG	Protein of unknown function (DUF447)			SZUA-1439_324:4209..4769	putative protein MTH_863	K09154	K09154	K09154	K09154	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00903	K07095		K07095	uncharacterized protein	02HSC@arcNOG,0KTC7@eurNOG,COG0622@NOG,arCOG01141@arNOG	Calcineurin-like phosphoesterase			SZUA-1439_324:4998..5480	Phosphodiesterase	K07095	K07095	K07095	K07095	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00904	K04076	[EC:3.4.21.53]	lonB	ATP-dependent Lon protease	0KW6D@eurNOG,COG1067@NOG,COG1372@NOG,arCOG02160@arNOG,arCOG03146@arNOG,arCOG03158@arNOG	Lon protease (S16) C-terminal proteolytic domain			SZUA-1439_325:90..1970	Archaeal Lon protease	K04076	K04076		K04076	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00905	K07027		K07027	glycosyltransferase 2 family protein	02H94@arcNOG,0KRVN@eurNOG,COG0392@NOG,COG0463@NOG,arCOG00895@arNOG,arCOG00897@arNOG	Uncharacterised protein family (UPF0104)			SZUA-1439_326:513..2096	Glycosyltransferase AglD	K07027	K07027	K07027	K07027	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00906	K04759		feoB	ferrous iron transport protein B	0KRRW@eurNOG,COG0370@NOG,arCOG00359@arNOG	Ferrous iron transport protein b			SZUA-1439_327:c(575..1267)	Fe(2+) transporter FeoB	K04759	K04759		K04759	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00907	K04758		feoA	ferrous iron transport protein A	02I57@arcNOG,0KV3V@eurNOG,COG1918@NOG,arCOG02102@arNOG	FeoA domain			SZUA-1439_327:c(1264..1497)	hypothetical protein	K04758		K04758	K04758	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00908	K06944		K06944	uncharacterized protein	02GUQ@arcNOG,0KRHX@eurNOG,COG1163@NOG,arCOG00358@arNOG	GTP-binding protein			SZUA-1439_328:185..1249	Fe(2+) transporter FeoB	K06944	K06944	K06944	K06944	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00909					05D66@bactNOG,0QJFZ@gproNOG,1749C@proNOG,COG1479@NOG	Pfam:DUF2081			SZUA-1439_329:c(788..2137)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00910									SZUA-1439_330:3..215	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00911					02GVY@arcNOG,0KW2X@eurNOG,COG2152@NOG,arCOG04084@arNOG	Domain of unknown function (DUF377)			SZUA-1439_330:518..1555	4-O-beta-D-mannosyl-D-glucose phosphorylase					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00912					0KUM0@eurNOG,COG2102@NOG,arCOG00036@arNOG	ATP-binding region			SZUA-1439_330:c(1682..2287)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00913	K07057	[EC:2.5.1.128]	bpsA	N4-bis(aminopropyl)spermidine synthase	02H6X@arcNOG,0KSVP@eurNOG,COG1568@NOG,arCOG00913@arNOG	Protein of unknown function DUF43			SZUA-1439_330:c(2573..3610)	N(4)-bis(aminopropyl)spermidine synthase	K07057	K07057	K07057	K07057	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00914	K01611	[EC:4.1.1.50]	speD, AMD1	S-adenosylmethionine decarboxylase	0KTHR@eurNOG,COG1586@NOG,arCOG00279@arNOG	Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine (By similarity)			SZUA-1439_330:c(3597..3935)	S-adenosylmethionine decarboxylase proenzyme	K01611	K01611	K01611	K01611	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00915	K00927	[EC:2.7.2.3]	PGK, pgk	phosphoglycerate kinase	02GXK@arcNOG,0KR9Q@eurNOG,COG0126@NOG,arCOG00496@arNOG	phosphoglycerate kinase (EC 2.7.2.3)			SZUA-1439_330:5636..6862	Phosphoglycerate kinase	K00927	K00927	K00927	K00927	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00916	K00767	[EC:2.4.2.19]	nadC, QPRT	nicotinate-nucleotide pyrophosphorylase (carboxylating)	02HK3@arcNOG,0KS0U@eurNOG,COG0157@NOG,arCOG01482@arNOG	nicotinate-nucleotide pyrophosphorylase (EC 2.4.2.19)			SZUA-1439_331:4..843	hypothetical protein	K00767	K00767	K00767	K00767	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00917	K07317	[EC:2.1.1.72]	K07317	adenine-specific DNA-methyltransferase	COG0827@NOG,COG1002@NOG	DNA Methylase			SZUA-1439_331:1104..2663	tRNA1(Val) (adenine(37)-N6)-methyltransferase	K07317			K07317	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00918	K17830	[EC:1.3.1.101][EC:1.3.7.11]	GGR	digeranylgeranylglycerophospholipid reductase	02HEQ@arcNOG,0KRAM@eurNOG,COG0644@NOG,arCOG00570@arNOG	Is involved in the reduction of 2,3- digeranylgeranylglycerophospholipids (unsaturated archaeols) into 2,3-diphytanylglycerophospholipids (saturated archaeols) in the biosynthesis of archaeal membrane lipids. Catalyzes the formation of archaetidic acid (2,3-di-O-phytanyl-sn-glyceryl phosphate) from 2,3-di-O-geranylgeranylglyceryl phosphate (DGGGP) via the hydrogenation of each double bond of the isoprenoid chains			SZUA-1439_331:c(2681..3850)	Digeranylgeranylglycerophospholipid reductase	K17830	K17830	K17830	K17830	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00919	K00390	[EC:1.8.4.8][EC:1.8.4.10]	cysH	phosphoadenosine phosphosulfate reductase	02I3N@arcNOG,0KV4E@eurNOG,COG1145@NOG,arCOG00958@arNOG	4Fe-4S ferredoxin iron-sulfur binding domain protein			SZUA-1439_331:c(3847..4026)	Ferredoxin	K00390			K00390	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00920									SZUA-1439_331:c(4225..4362)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00921	K03605	[EC:3.4.23.-]	hyaD, hybD	hydrogenase maturation protease	0KUZY@eurNOG,COG0680@NOG,arCOG04429@arNOG	-hydrogenase			SZUA-1439_331:c(4359..4691)	hypothetical protein	K03605	K03605		K03605	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00922	K03281		TC.CIC	chloride channel protein, CIC family	0KRF0@eurNOG,COG0038@NOG,arCOG02569@arNOG	Chloride channel			SZUA-1439_332:547..2253	Zinc metalloprotease	K03281	K03281	K03281	K03281	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00923					0KTDB@eurNOG,COG1720@NOG,arCOG00761@arNOG	Uncharacterised protein family UPF0066			SZUA-1439_333:c(267..770)	S-adenosyl-L-methionine-binding protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00924	K00869	[EC:2.7.1.36]	E2.7.1.36, MVK, mvaK1	mevalonate kinase	02H55@arcNOG,0KT15@eurNOG,COG1577@NOG,arCOG01028@arNOG	mevalonate kinase			SZUA-1439_333:c(1176..2066)	Mevalonate kinase	K00869	K00869	K00869	K00869	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00925									SZUA-1439_334:319..507	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00927					02HQ9@arcNOG,0KYME@eurNOG,110M2@NOG,arCOG03793@arNOG				SZUA-1439_334:c(949..1593)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00928									SZUA-1439_334:c(1757..1870)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00929					02I4A@arcNOG,02T1M@arNOG,0KYM1@eurNOG,103BP@NOG				SZUA-1439_335:c(631..1152)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00930	K03555		mutS	DNA mismatch repair protein MutS	02GV5@arcNOG,0KRPX@eurNOG,COG0249@NOG,arCOG02897@arNOG	that it carries out the mismatch recognition step. This protein has a weak ATPase activity (By similarity)			SZUA-1439_335:c(1131..2474)	DNA-binding protein MutS2	K03555	K03555	K08735	K03555	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00931	K03616		rnfB	electron transport complex protein RnfB	COG1456@NOG,arCOG01979@arNOG	acetyl-CoA decarbonylase synthase complex subunit gamma			SZUA-1439_336:c(129..461)	Electron transport complex subunit RsxB	K03616	K03616		K00197	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00932									SZUA-1439_336:1347..1469	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00933									SZUA-1439_337:87..422	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00935	K09142		K09142	uncharacterized protein	02HGD@arcNOG,0KTHK@eurNOG,COG2106@NOG,arCOG04069@arNOG	Pfam:DUF171			SZUA-1439_337:1648..2430	hypothetical protein	K09142	K09142	K09142	K09142	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00936	K07142	[EC:2.7.6.3]	mptE	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	0KT3K@eurNOG,COG1634@NOG,arCOG04303@arNOG	Catalyzes the transfer of pyrophosphate from ATP to 6- hydroxymethyl-7,8-dihydropterin (6-HMD), leading to 6- hydroxymethyl-7,8-dihydropterin diphosphate (6-HMDP) (By similarity)			SZUA-1439_338:c(152..754)	6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase	K07142	K07142	K07142	K07142	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00937	K02194		ccmB	heme exporter protein B	02HIT@arcNOG,0KT8A@eurNOG,COG2386@NOG,arCOG01328@arNOG	cytochrome c-type biogenesis protein CcmB			SZUA-1439_338:c(901..1554)	hypothetical protein	K02194		K02194	K02194	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00938	K01990		ABC-2.A	ABC-2 type transport system ATP-binding protein	02HNZ@arcNOG,0KSYG@eurNOG,COG1131@NOG,arCOG00194@arNOG	ABC transporter			SZUA-1439_338:c(1511..2161)	Trehalose/maltose import ATP-binding protein MalK	K01990	K01990	K02193	K01990	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00939	K01872	[EC:6.1.1.7]	AARS, alaS	alanyl-tRNA synthetase	02HBH@arcNOG,0KRG7@eurNOG,COG0013@NOG,arCOG01255@arNOG	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala)			SZUA-1439_338:c(2421..2657)	Alanine--tRNA ligase	K01872			K01872	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00940									SZUA-1439_339:16..282	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00941	K08978		TC.BAT1	bacterial/archaeal transporter family protein	02TM7@arNOG,0M25N@eurNOG,0XVQD@NOG	EamA-like transporter family			SZUA-1439_339:c(976..1401)	4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE	K08978	K08978		K08978	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00942	K03218	[EC:2.1.1.185]	rlmB	23S rRNA (guanosine2251-2'-O)-methyltransferase	02HAG@arcNOG,02U58@arNOG,0KYPG@eurNOG,COG0566@NOG	RNA methyltransferase, TrmH family, group 3			SZUA-1439_339:c(1398..2114)	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB	K03218	K03218	K03218	K03218	K21514
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00943									SZUA-1439_339:2628..2873	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00944	K06935		K06935	uncharacterized protein	0KRVV@eurNOG,COG2100@NOG,arCOG00951@arNOG	radical sam domain protein			SZUA-1439_339:2854..4026	Coenzyme PQQ synthesis protein E	K06935	K06935	K06935	K06935	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00945	K07068		K07068	uncharacterized protein	0KXT2@eurNOG,COG1545@NOG,arCOG01285@arNOG	Rubredoxin-like zinc ribbon domain (DUF35_N)			SZUA-1439_339:c(4089..4490)	hypothetical protein	K07068	K07068	K07068	K07068	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00946	K00626	[EC:2.3.1.9]	E2.3.1.9, atoB	acetyl-CoA C-acetyltransferase	COG0183@NOG,arCOG01278@arNOG	acetyl-CoA			SZUA-1439_339:c(4503..5690)	3-ketoacyl-CoA thiolase	K00626	K00626	K00632	K00626	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00947					0FAYD@creNOG,COG1702@NOG,arCOG04325@arNOG	PhoH family			SZUA-1439_339:c(5936..6190)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00948									SZUA-1439_340:c(83..952)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00949									SZUA-1439_340:c(1314..1874)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00950	K03622		ssh10b	archaea-specific DNA-binding protein	02HX7@arcNOG,0KU0E@eurNOG,COG1581@NOG,arCOG01753@arNOG	Binds double-stranded DNA tightly but without sequence specificity. It is distributed uniformly and abundantly on the chromosome, suggesting a role in chromatin architecture. However, it does not significantly compact DNA. Binds rRNA and mRNA in vivo. May play a role in maintaining the structural and functional stability of RNA, and, perhaps, ribosomes (By similarity)			SZUA-1439_341:c(137..412)	DNA/RNA-binding protein Alba 2	K03622	K03622	K03622	K03622	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00951	K09732		K09732	uncharacterized protein	02HVJ@arcNOG,0KU3Z@eurNOG,COG1888@NOG,arCOG04140@arNOG	Uncharacterized ArCR, COG1888			SZUA-1439_341:704..1030	hypothetical protein	K09732	K09732	K09732	K09732	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00952	K17757	[EC:4.2.1.93]	CARKD	ATP-dependent NAD(P)H-hydrate dehydratase	02H9D@arcNOG,02TCZ@arNOG,0KRNR@eurNOG,COG0062@NOG,COG0063@NOG,arCOG00018@arNOG	YjeF-related protein N-terminus			SZUA-1439_341:c(1160..2077)	ADP-dependent (S)-NAD(P)H-hydrate dehydratase	K17757		K17757	K17758	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00953	K03281		TC.CIC	chloride channel protein, CIC family	0KRF0@eurNOG,COG0038@NOG,arCOG02569@arNOG	Chloride channel			SZUA-1439_342:c(669..1139)	H(+)/Cl(-) exchange transporter ClcA	K03281	K03281		K03281	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00954	K02201	[EC:2.7.7.3]	E2.7.7.3B	pantetheine-phosphate adenylyltransferase	02HJN@arcNOG,0KTF6@eurNOG,COG1019@NOG,arCOG01223@arNOG	Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate (By similarity)			SZUA-1439_343:61..210	Phosphopantetheine adenylyltransferase	K02201	K02201		K02201	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00955									SZUA-1439_343:479..919	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00956	K07055	[EC:2.5.1.114]	TRM12, TYW2	tRNA wybutosine-synthesizing protein 2	02H9K@arcNOG,0KS1T@eurNOG,COG2520@NOG,arCOG10124@arNOG	Met-10+ like-protein			SZUA-1439_343:c(1125..1634)	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase	K07055	K07055		K07055	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00957	K03183	[EC:2.1.1.163][EC:2.1.1.201]	ubiE	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	02HAE@arcNOG,0KSFJ@eurNOG,0XSKB@NOG,arCOG01792@arNOG	Mycolic acid cyclopropane synthetase			SZUA-1439_344:20..643	Arsenite methyltransferase	K03183	K03183	K03183	K03183	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00958									SZUA-1439_344:1192..1356	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00959	K01953	[EC:6.3.5.4]	asnB, ASNS	asparagine synthase (glutamine-hydrolysing)	02HCC@arcNOG,0KRA8@eurNOG,COG0367@NOG,arCOG00071@arNOG	Asparagine synthase			SZUA-1439_345:c(182..1372)	hypothetical protein	K01953	K01953	K01953	K01953	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00960					02GWU@arcNOG,0KRHF@eurNOG,COG1293@NOG,arCOG01695@arNOG	Fibronectin-binding A domain protein			SZUA-1439_345:2315..4255	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00961	K07068		K07068	uncharacterized protein	02HPY@arcNOG,0KT3U@eurNOG,COG1545@NOG,arCOG01285@arNOG	DUF35 OB-fold domain			SZUA-1439_346:173..580	hypothetical protein	K07068	K07068	K07068	K01641	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00962					0KRP8@eurNOG,COG2220@NOG,arCOG00497@arNOG	UPF0173 metal-dependent hydrolase			SZUA-1439_346:c(794..1474)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00963	K00145	[EC:1.2.1.38]	argC	N-acetyl-gamma-glutamyl-phosphate reductase	0KRVS@eurNOG,COG0002@NOG,arCOG00495@arNOG	N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)			SZUA-1439_347:835..1827	[LysW]-L-2-aminoadipate/[LysW]-L-glutamate phosphate reductase	K00145	K00145	K00145	K00145	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00964	K07559	[EC:2.7.1.-]	kptA	putative RNA 2'-phosphotransferase	02HFP@arcNOG,0KSG8@eurNOG,COG1859@NOG,arCOG04063@arNOG	Removes the 2'-phosphate from RNA via an intermediate in which the phosphate is ADP-ribosylated by NAD followed by a presumed transesterification to release the RNA and generate ADP- ribose 1''-2''-cyclic phosphate (APPR P). May function as an ADP- ribosylase (By similarity)			SZUA-1439_347:2221..2859	putative RNA 2'-phosphotransferase	K07559	K07559	K07559	K07559	
